,timestamp,rating,title,text,parent_asin,verified_purchase
7429,2023-01-17 21:46:59,5.0,"So far, So good  a tip","I don't know about anyone else, but always hated those old mercury thermometers.<br /><br />And I knew if I was going to get a digital one, I wanted one you didn't have to touch skin.<br /><br />This one seems to give a good and LIGHTNING fast reading.<br /><br />Also comes with batteries, but I don't know how good they are, so will keep some to change out.<br /><br />And I also like you can read temp in a dark room!<br /><br />TIPS:  Let it get to room temp before using.  Mine had been in my cold mailbox awhile, but whether in cold or heat, just try to give it time to really adjust to room temp.  I was in no hurry, I waited an hour, but probably didn't need to wait that long.<br /><br />ALSO LOOK at example of WHERE to place it, not too close or too far from forehead and I place above the center of my eyebrows.<br /><br />BOTTOMLINE:  GLAD I got it.  In these times, one NEEDS a thermometer and I am pleased with this one.  Will UPDATE if anything changes.  Oh, and for older peeps, which I am one, our temps can be below 98.6.  NORMAL temps can range for different people, different ages.  I'm concerned more with how HIGH my goes.",B075QQ8VZW,True
8330,2022-08-25 08:51:11,5.0,Works well!,"I had a regular digital thermometer, and this one popped up on sale. I decided I'd give it a shot since, you know, pandemic and whatnot. I haven't gotten sick (not bragging or saying it's because of this), but the few times I've felt weird or I'll, this gives a pretty concise temp fairly quickly.<br /><br />Looks kinda star trekky too. All in all I'm glad to have it in the medicine cabinet!",B075QQ8VZW,True
11001,2020-05-14 21:57:08,1.0,Inaccurate and overrated,Not accurate temps,B075QQ8VZW,True
11208,2022-09-04 21:38:31,1.0,Not accurate,It just is NOT accurate. Point blank period. Its accurate when it wants to be wether or not brand new batteries are in it. Totally not reliable.,B075QQ8VZW,True
11701,2020-06-24 04:53:53,5.0,Can’t find in stores,"Never thought I’d ever see a time when I couldn’t find a thermometer. But now, they are hard to find and the ones you do find are super expensive. This one is economical and easy to use. Just point and press the button. No worrying about disinfecting the thermometer because it never touches the skin. Also the read out is large and easy to read in a dimly lit or dark room",B075QQ8VZW,True
12436,2020-06-29 15:35:49,5.0,"So Far,  Very Good","I doubt that that anybody will read my little review,  it'll be pushed so far back in the several thousand<br />nobody will see it.  Anyway I hope that it is read because this is the best one that I have purchased,<br />since this crises began.  This thermometer works as it is said to.  It's very simple and easy to use and<br />it perfectly accurate.<br /><br />I had a much more expensive one and it didn't work after a few uses.  This one doesn't have the memory<br />data and piled up useless stuff to make it tear up quickly.  It feels good in the hand,  doesn't feel like<br />thin cheap plastic and performs everything but what it is needed for.  It's heavier,  more solid,  reads<br />the temp in a second and shuts off in 8 seconds.  It doesn't stay on a half day and drain the battery.<br />It looks and feels like a professional instrument,  not a cheap light plastic toy.  If it continues to function<br />the way that it's doing,  it is worth every penny and is a fair price.  As things are now,  I would buy it<br />again.  I am telling you the honest total truth,  this is a good one.  Not colored or fancy looking,  just<br />a plain simple,  well made instrument that does what it is supposed to do...<br /><br />11-18-20<br />This one that I have reviewed is still just like the day that I received it.  So,  I bought another one,  for<br />a gift...…….",B075QQ8VZW,True
12751,2021-05-04 05:22:38,5.0,Very fast & accurate temp scans!,"This is my go to for precise temp readings! It’s simple to use, hold in hand, click once to turn on, put to forehead and click again and in a second it vibrates with 💯% accurate temp scans! Highly recommended!",B075QQ8VZW,True
14500,2020-07-24 19:50:57,1.0,Works 2% of the time,DO NOT WAST YOUR MONEY! I’m so upset about this purchase,B075QQ8VZW,True
15124,2022-06-08 23:07:56,1.0,The error is on the rise,"I bought four different non-contact thermometers from Amazon and they all show different temperatures. And the difference is up to 1.5 degrees Celsius. Who to believe? Where's my good old mercury thermometer?<br />P.S. A day later. A great coffee substitute, a kind of dope. At 1 am you measure the child's temperature. The thermometer shows 38.8C. Silent panic in the house, feverishly going to go to the hospital. Luckily, you find a mercury thermometer that reads 37.2C. If you want adrenaline, then this is for you. ""Amazon choice""...",B075QQ8VZW,True
15679,2020-09-07 20:59:02,5.0,Easy to use,Easy to use and read.  Sometimes if I take my temp it seems low so I take it again and it’s higher.  Maybe I just need to have it in the right place or the right distance.  Anyway I am pleased to have it.,B075QQ8VZW,True
16177,2020-09-09 19:58:37,5.0,Good value,The thermometer work well.,B075QQ8VZW,True
16351,2021-07-17 15:45:51,5.0,it's easy to use,"It's easy to use and great to have around when it's really needed. Kinda mad that it's now half the cost it was when I bought it, but whatever...If you have babies/small children this is awesome because you can take the temp without actually touching them while they sleep.",B075QQ8VZW,True
16590,2021-05-13 03:26:11,5.0,WORKS GREAT,Love this thing and easy to use.,B075QQ8VZW,True
16750,2021-06-22 16:22:27,2.0,Unreliable. Accurate Maybe 80% Of The Time,"I bought this product last year when COVID-19 was at its peak and these thermometers were hard to come by, so maybe I just got a bad batch. But the temp reading for this is very unreliable. We've used it numerous times since purchasing last year, and now we've decided we won't rely on it any longer and will find a new one.",B075QQ8VZW,True
16800,2020-12-09 05:18:31,5.0,quick and easy,"Since I have to check my temperature before going to work each day, I needed something reliable, fast, and accurate. This thermometer returns a reading in under 2 seconds with the push of a button, and the display is bright and easy to read in the dark.",B075QQ8VZW,True
16809,2021-03-17 15:31:03,1.0,Not Accurate,"Erroneous readings, sent it back.",B075QQ8VZW,True
16849,2023-01-07 13:17:40,2.0,Sadly the temperature it’s not that accurate,Nice for classroom,B075QQ8VZW,True
16926,2020-07-15 17:42:27,5.0,Good to have with the covid-19 covering the country!!!,I bought one for my granddaughter to use on my great-granddaughters and one for myself to use when they are in my household.  Nice to have with the virus all around.,B075QQ8VZW,True
16938,2020-09-18 16:26:59,3.0,Inconsistent,"This product offers inconsistent temperatures. Most times I use it, the temp changes by a significant amount, even when using it back to back in the same spot.",B075QQ8VZW,True
18601,2020-12-15 14:30:11,5.0,Great product.,Great product. Easy to use and read,B075QQ8VZW,True
18719,2022-08-28 09:16:05,1.0,Not accurate,I bought this based on the good reviews. Easy to use and easy to read. BUT it always shows my temp is 97.1. My other thermometer restisters 98.4. Not happy with this purchase. Didn't realize it was so bad till I needed it and then the return policy had expired.,B075QQ8VZW,True
18880,2020-08-20 18:10:39,5.0,Great for chemo patient,Bought this for my mom who is going through chemotherapy. Works great.,B075QQ8VZW,True
18908,2021-06-14 21:39:37,5.0,EASY TO USE,"Bought this to replace my old digital thermometer. As compared to my old one, the focal length to determine the temperature is much shorter. So much easier to use on my hyperactive toddler!",B075QQ8VZW,True
18973,2020-10-22 17:38:36,5.0,Great product,Perfect for this pandenic. Notice this exact product being used at health facilities prior to allowing entrance.,B075QQ8VZW,True
19045,2020-07-27 18:50:22,5.0,Awesome. Works as advertised,Immediate readings for temperature. No waiting.,B075QQ8VZW,True
19466,2021-03-02 05:45:09,5.0,Nice design,Works well,B075QQ8VZW,True
19764,2022-07-12 22:04:56,1.0,Worse than nothing,Completely inaccurate.  Never registered anything other that 97.1 F through 97.7 F no matter how much of a fever I had.  Seemed to choose these numbers at random.,B075QQ8VZW,True
20325,2021-03-20 03:03:46,1.0,Completely inaccurate,"Completely inaccurate, a waste of $$",B075QQ8VZW,True
20366,2022-08-05 18:09:51,5.0,Exactly what you need.,This is easy to use and very accurate! Just what you need for everyone in your family.,B075QQ8VZW,True
20520,2021-06-20 04:03:45,1.0,Useless,Easy to use but USELESS.  Does not give accurate readings.  Reads low even with a slight fever,B075QQ8VZW,True
23906,2021-03-13 17:38:46,5.0,Great product!,The hardest part was putting in the batteries. And that’s very easy. Very accurate( I tested with another thermometer). Easy to use!,B075QQ8VZW,True
23966,2022-04-20 23:07:01,5.0,Temperature,I wish I would have bought this sooner.,B075QQ8VZW,True
25425,2021-11-02 03:35:56,5.0,"Sleek design, easy to use","This thermometer looks great, Is super lightweight and very easy to use. It gives instant readings. I’ve been using it all day to test the accuracy and it’s been a steady reading with a few that were just 1/2 degree more.<br />Not that looks are important but I like the white on white readout, very easy on the eyes. Affordable with the highest number of good reviews than any other on Amazon. I’ll update if it malfunctions over time.",B075QQ8VZW,True
25604,2023-02-05 17:45:18,5.0,dr recommeded,seems to work fine,B075QQ8VZW,True
25805,2022-12-09 14:08:48,2.0,"Easy to use, but wrong most of the time",This thermometer has potential but it gives widely varying readouts and is wrong most of the time. Thankfully our old in-ear thermometer still works so I can compare them.,B075QQ8VZW,True
25882,2021-01-10 04:37:36,5.0,Accurate monitor,"I’ve gone through 3 different thermometers before I found this one, and it works great! Accurate, quick, quiet reads.",B075QQ8VZW,True
26483,2020-09-23 18:14:39,5.0,Highly recommend this over all the others,"I read many reviews after having bad luck with a different type.  This one was mentioned in all of them, and mostly wound up at or near the top of the list.  I can see why!",B075QQ8VZW,True
26502,2020-07-18 02:45:53,5.0,That your not sick,"Easy to use, fast and accurate.",B075QQ8VZW,True
26706,2022-06-10 13:06:55,5.0,Accuracy,Tested it to see if it’s accurate and so far no issues and the design is nice and minimal,B075QQ8VZW,True
28268,2022-02-09 18:49:30,1.0,Terrible,Terrible product reads a different temp EVERYTIME so dissatisfied with this product!,B075QQ8VZW,True
28440,2020-05-25 11:58:39,4.0,It Simple and easy,Product is good,B075QQ8VZW,True
28813,2020-08-05 12:40:38,5.0,Great product,Very easy to use. Ordered this for our after school program to check temps of the children as they come in.,B075QQ8VZW,True
28873,2022-02-17 02:29:03,5.0,Easy to use,"So easy to use and read, plus there's no spreading of germs when the kids are sick.",B075QQ8VZW,True
29567,2020-07-01 02:32:29,5.0,Awesome,I had to play with this device a couple different times and I also had to watch a youtube channel as well because the paperwork that it comes with does not explain very much it just gives you some pictures and 1-4 steps and then you are on your own. Once you figure it out and try it a couple of different times it will be easy as pie.,B075QQ8VZW,True
29613,2020-08-11 16:49:17,5.0,perfect thermometer for these times.,It is very handy and is easy to use.,B075QQ8VZW,True
30589,2020-06-10 22:24:18,1.0,Sent back 5 minutes after receiving,"Very inaccurate readings, reviews are way off on this thing.. If you like inaccurate temp reading then this is the thermometer for you !!!",B075QQ8VZW,True
30721,2021-01-12 17:05:08,5.0,No touch Thermometer,"If you have kids and in our current covid situation a no touch temperature meet is a must have, and this one is simple to use and read.",B075QQ8VZW,True
30928,2020-12-31 18:46:17,5.0,Great product!,This thermometer is very easy to use!! Quick and easy to read screen. We love it.,B075QQ8VZW,True
30930,2020-12-31 18:46:17,5.0,Great product!,This thermometer is very easy to use!! Quick and easy to read screen. We love it.,B075QQ8VZW,True
30985,2020-07-14 23:47:17,5.0,Great product!!,Fantastic device!!!!works great,B075QQ8VZW,True
31120,2020-10-03 16:33:13,4.0,"Works good, but need to hold pretty close to forehead","Works for what we need, only about 40ppl once a week.  You have to hold it pretty close to the person (1 inch) and takes a few seconds to read, but thats fine for us, esp at lowest price when we looked.<br /><br />You wouldn't want it for lots of people in short time.<br /><br />We tested it against our other temp reader and it was accurate.",B075QQ8VZW,True
31229,2022-02-19 20:46:06,1.0,Do not buy!,"This is a piece of junk. From first attempt to use, it malfunctioned. IT is useless. Of course, first use was beyond the return window, so we're stuck with having paid for a useless piece of trash.",B075QQ8VZW,True
31234,2019-09-05 16:56:44,5.0,Great thermometer,Takes a little while to get the hang of it but once you do you will love it!!,B075QQ8VZW,True
31392,2020-07-18 21:50:06,5.0,awsome,Love how easy it is to use and the instructions  are easy to follow,B075QQ8VZW,True
31627,2021-02-09 23:19:45,5.0,Quality,It is accurate and the only problem is I think the room temperature can interfere with the reading. Except from this it is a quality made product.,B075QQ8VZW,True
31648,2023-01-07 07:17:42,5.0,A good value,This was reasonably priced and looks to be very good overall,B075QQ8VZW,True
31977,2021-03-13 00:33:08,5.0,"After use met expectations for fit, form, and function.","The product was delivered on time, packaging was in good condition, the product was in good condition and appeared to be as described, and after use met expectations for fit, form, and function.",B075QQ8VZW,True
31990,2020-11-22 20:30:52,5.0,OK,All is well. Not sure how to verify the accuracy.  Seems to be as it should be.,B075QQ8VZW,True
32152,2022-12-13 20:33:52,5.0,LUV THIS,Incredibly easy to use and only takes seconds.,B075QQ8VZW,True
32293,2021-07-10 19:04:05,5.0,No,Works well during these Covid times,B075QQ8VZW,True
32359,2020-08-25 21:34:41,5.0,Best one out there,This is the best one of all. Put batteries in and works right away. Very accurate.,B075QQ8VZW,True
32362,2021-02-08 19:25:52,5.0,One-Touch forehead thermometer,The product is very accurate and easy to use.  I am very pleased with the quality of the product.  The item arrived promptly and was packaged very well.,B075QQ8VZW,True
32937,2020-08-02 05:50:12,5.0,Gives me accurate temperature readings.,I have tried the product a number of times and it has worked for me. It has given me accurate temperature readings when compared to other thermometers.,B075QQ8VZW,True
33372,2020-09-03 21:26:57,5.0,Good,Bought a dozen for our football league.  Have held up well so far.  Quick read which is nice with a lot of kids!,B075QQ8VZW,True
35122,2020-05-14 18:55:04,1.0,Just received Just sending back,Wow. What a POS device. I wear 2.5 readers and needed them plus a magnifying glass to try to read the instructions. I waited for this well ranked device to receive and I am sorry I bought this thing.m It shouldn't be this complicated to use for any age or skill level. I am 60 so I made it this far so I am pretty sure this isn't the first time they have heard this about this sub standard device. Keeps flashing c for Celsius or F for Empirical measurements.Cant get it to anything beyond that!,B075QQ8VZW,True
35957,2021-12-31 00:27:50,2.0,Inaccurate …,I would love to give this a good review but it simply is inaccurate. My husband and I both keep getting readings around 97.8 when we know our normal temperature is higher. We tried it throughout the day and went down to 96 as well. I’ll be returning it since I don’t trust it to be right if we ever have a fever.,B075QQ8VZW,True
36107,2020-08-17 23:27:23,5.0,TOUCHLESS FAST READ EASY  BOUGHT 3 PERFECT FOR ALL THOSE COVID TESTING DOCS WANT NOW,"My daughter went to university has a roommate now in the dorms so impressed with this when i bought the first one became a must have  bought 3 one for my MIL and my daughter.  Amazing Accurate, and if your doctor wants you to take you temp 3 times a day for all your family well this is the way to do if without the worry of ""covid"" contamination",B075QQ8VZW,True
36871,2021-03-30 03:12:53,5.0,Works great,Works great. Nice to not have to sterilize thermometer.,B075QQ8VZW,True
39426,2022-12-26 04:36:59,5.0,Easy to use,Bought it for my granddaughter s,B075QQ8VZW,True
40205,2023-01-04 03:35:03,1.0,Don’t do it,"I returned this thermometer. It was very inaccurate. It was easy to use, but each reading was different and I didn’t trust it on my child.  Not worth the money.",B075QQ8VZW,True
41077,2020-12-10 22:12:52,5.0,Recommend,"I’ve purchased prob 4 or 5 thermometers in the past 3 years and have had issues with them not being accurate or easy to read. That is not the case with this one. It is so easy to use, you can take the temperature of your little one without them even knowing.  It’s easy to read in the dark, vibrates when temp is complete and it is accurate.",B075QQ8VZW,True
41091,2021-01-05 04:02:59,5.0,Best thermometer I've used,What a great product and even better price. Highly recommended.,B075QQ8VZW,True
41608,2020-08-19 00:20:33,5.0,"Reliable, easy to use, worth the money",Used for preschool children,B075QQ8VZW,True
43538,2020-08-05 00:27:09,5.0,Easy,Quick little assembly required and was able to measure my own temperature in a quick hurry.  Perfect home device to have during this pandemic.,B075QQ8VZW,True
45224,2020-12-02 18:32:41,5.0,Great Product,Easy to use and accurate,B075QQ8VZW,True
45298,2023-01-24 23:59:01,5.0,Good,Good,B075QQ8VZW,True
45355,2023-01-13 20:58:52,1.0,Not accurate,"Even with brand new batteries, this thermometer is not accurate. It reads low, which is incredibly misleading especially when having sick children.",B075QQ8VZW,True
45436,2020-07-06 18:56:19,5.0,"Easy to use, quick and accurate (I think...)","Really nice, easy to use. I believe it to be accurate. It looks great, the display is easy to read and the little vibration to let you know that a reading has been taken and registered, is nice.",B075QQ8VZW,True
45658,2020-08-24 00:11:30,5.0,I health no touch thermometers,"The ease of use, accuracy. I received my no touch thermometer in record time! Reasonable price!!<br />Go seller.",B075QQ8VZW,True
45754,2020-09-04 20:48:09,5.0,easy out of the box,"Not sure why a 98.1 was registered but will see if that is typical.<br />Very NEAT, EASY ----- not intimidating.<br />Good for children as temp taken within a second --- 1 second.<br /><br />Excellent product",B075QQ8VZW,True
45775,2021-04-09 19:52:00,1.0,Not accurate,This does not work. I had a fever of 100 with an under the tongue thermometer and at the Drs office as well and this thermometer never reads over 98.2.,B075QQ8VZW,True
46126,2020-09-20 21:37:42,5.0,Easy To Use Digital Thermometer,Easy to use and read digital thermometer.  Since I have purchased this device I have seen the same model being used at doctors offices to screen patients coming to the office.,B075QQ8VZW,True
46131,2021-01-29 23:26:37,5.0,You need one... get this one!,Use it ever...<br />Great,B075QQ8VZW,True
46425,2020-10-21 18:29:04,1.0,Not accurate,"A thermometer needs to be accurate.  This one reads one degree too low, so I'm returning it.  I see doctors' offices and other businesses using these forehead scanning thermometers and I think they probably all read too low. Don't waste your money.  We will continue to use the one you put in your ear that we've had for years.",B075QQ8VZW,True
47225,2021-01-24 01:59:27,5.0,Very good thermometer,The best thermometer at work.  Easier to use. Quick read and always handy because I bought the case.  I bought two and the one for home for taking the dogs temps measures exactly the same as the one at the Vets office.  I take her temp on the inside fold of her outer ear.  May not be always as accurate for some ears but within a very close number especally if elevated.,B075QQ8VZW,True
47877,2022-07-20 12:42:04,1.0,Didn’t work at all -right out of the box,"I bought this on the recommendation of a mom on my FB group. We followed the directions, and it never registered a temperature - it just shut itself off. We tried multiple times, tried different batteries, same result. The FB mom lived nearby and stopped over to try it, and again no luck. I tried to return it to Amazon, and guess what…Amazon doesn’t take returns on it, even if it never worked to begin with.<br />DO NOT BUY THIS THERMOMETER!",B075QQ8VZW,True
48553,2020-09-14 02:02:12,5.0,Great touchless thermometer,"Real easy to, compact, and a great way to check temps.",B075QQ8VZW,True
48691,2020-05-26 01:57:49,5.0,"Very neutral looking and non-threatening, seems to be accurate within 1 degree","Very neutral looking and non-threatening.  In our tests it seems to be accurate within 1 degree if used correctly.  You do need to point it exactly where they show in the directions to get a good reading.  We used an oral thermometer to verify the readings.  It usually reads 1 degree lower.  Little hard to read if you are using it outside, but no problem in regular room lighting . . . great in the dark as it is not too bright.",B075QQ8VZW,True
48745,2020-06-24 15:03:33,5.0,That's it's easy and accurate,So far I love it! We haven't been sick lately so haven't needed one but I love that you don't have to put it in your mouth and use Thermometer Covers.  Especially for kids this will be great! So far so good!,B075QQ8VZW,True
48860,2022-01-10 20:46:52,4.0,"Excellent value. Sleek, elegant. Reads 1 degree low.","The iHealth No-Touch Forehead Thermometer is very sleek and affordable device. Pop in the batteries, point the probe at a forehead, press the button and you get a reading in about one second. It produces no annoying sound--just a cell phone-like soft vibration when the temperature locks on. The readout is easily visible in room light or total darkness.<br /><br />My iHealth thermometer reads about 1 degree too low when compared to other thermometers. I'll just factor that in my readings. Shrug--but I'm removing one star.<br /><br />In any case, I'm adding this this elegant, fast thermometer to my home health supplies. Four stars.",B075QQ8VZW,True
49013,2020-08-12 11:17:45,5.0,Perfect!,Just what we wanted,B075QQ8VZW,True
49081,2020-10-15 23:11:05,3.0,Haven't used it yet,The batteries were wrapped so tight I could hardly get them loose. Then it was almost impossible to get the lid off of the battery compartment. Now I haven't been able to get a reading. I guess I'll have to check the instructions again. Good thing I'm not in a hurry to use it.,B075QQ8VZW,True
49761,2020-06-09 04:41:10,5.0,Nice way to check temp quick.,This is a pretty handy thermometer. Works well and very quick.,B075QQ8VZW,True
50088,2023-01-07 16:57:43,5.0,Finally a working thermometer,"I’m hoping it continues to work, but so far it’s great! I have such a hard time getting thermometers that are easy to work and are accurate.",B075QQ8VZW,True
50210,2020-07-08 21:02:42,5.0,Quick and easy to use,Very easy to use. I needed a quick option for checking temperatures before school in the mornings when it starts back up and the is just that. It’s off by about a degree but for us that’s not a major issue.,B075QQ8VZW,True
50864,2020-08-13 04:40:10,5.0,Great product.,"Seems very accurate, easy to use. Nice to be able to read the temperature!",B075QQ8VZW,True
51026,2020-07-28 06:40:12,1.0,Just SOOOO accurate (not),"Just... because I could, I decided to take the temperature if my foot. That was under my comforter - folded over. Not intentional; just happened to be that way. I didn't expect to get a temperature but lo and behold - apparently my blanket is 90.1° (because there's no way it could pick up my foot from that)<br />I also did my ear (again, just cuz) and my wrist. My ear was 92.8° so I guess I'm dead. My wrist was the same temp as my forehead - 96.6°<br />I have been seriously bored the past couple days so I've been playing with this - my forehead has not changed. Neither has my wrist. I took the temp of every place in my body - always 96.6 No matter what day, no matter what time of day, no matter if I have a headache or not - same temp from head to toe (except when it says I'm dead lol)<br />I have news for you: your temp changes throughout the day. For example, it'll typically run slightly higher after exercise because your body is working harder than usual and lower after rest. Not too mention the fact that some parts of your body run hotter than others so it makes absolutely no sense that no matter what the circumstance - the time of day, if I had a headache, if I had just eaten or I hadn't eaten all day; it truly doesn't matter - the temp remained 96.6° (except the one time with my ear that was 92.8° - i.e. dead)<br /><br />I got this for COVID-19; no contact and all. But its accuracy leaves something to be desired...",B075QQ8VZW,True
52591,2021-01-22 21:40:14,1.0,Never got a temperature reading over 97.5,I don't think it works so am returning it. Most of the time it told me my temp was 96.,B075QQ8VZW,True
53235,2023-02-28 04:51:08,3.0,It's okay,It's nice but doesn't always read when it should. I have to turn it off/on. I'm not sure it's always accurate.,B075QQ8VZW,True
53395,2023-03-03 15:33:18,1.0,Not good - DON'T BUY!,"My son is sick for the first time ever. I've had this thermometer in case he ever got sick due to the reviews and convenience of not having to use it in other places that would be uncomfortable. He was burning up, first reading read 98°, then 99.6°, then 102.5°, then back down to 99.4° and then 101.4°.. like how am I to know how hot he really is??.. Definitely can't use this if my life depended on it and especially if my baby is sick for the first time.",B075QQ8VZW,True
53569,2021-11-11 16:03:48,4.0,Gets the job done,This I like bc it only vibrates when the reading is done no beeps or sound with this no bright lights either it’s very simple easy to use seemed pretty accurate good purchase good price,B075QQ8VZW,True
53902,2022-11-08 04:36:44,1.0,No longer shows correct temperature.,No longer shows correct temperature. What is shows is nowhere close to the actual temperatures.,B075QQ8VZW,True
54095,2020-12-07 02:07:17,1.0,Hardly ever works,My sister and I bought this thermometer it is very hard to get a reading....I am past my return window which ticks me off. Don't bother with it.,B075QQ8VZW,True
54295,2022-09-16 04:40:19,1.0,97.3 temperature ever time?,We have been using the same temporal thermometer for years. When my husband saw this on prime days he bought it because he wanted one that didn’t require you to touch your forehead. We loved this thermometer initially. Over time the readings seemed off. Now every time we take our temperature it reads 97.3. Quick progression from good to unusable. Very short lifespan for a device that should last for a long time.,B075QQ8VZW,True
54759,2020-08-07 03:27:22,1.0,"Bought it on Jun 24, It has died already.","Bought it on Jun 24, It's not working by displaying blank screen now.<br />The QC sucks.",B075QQ8VZW,True
55589,2021-02-13 16:48:50,5.0,perfect,perfect item. got good reviews from sources other than amazon also,B075QQ8VZW,True
56134,2021-05-06 19:38:44,5.0,Is it hot in here or is it just me?,Came as advertised.  Works/looks as promised.  Best thermometer I’ve had in years.  I’ve many over the years only to find that they didn’t work well or easily.  Very happy with purchase.,B075QQ8VZW,True
56224,2020-10-19 14:11:22,5.0,Easy! No touch!,"I am very happy with this thermometer. It is easy to operate, touch one button, read it within seconds. Happy with this purchase.",B075QQ8VZW,True
56267,2020-04-26 22:09:18,5.0,Excellent hand held forehead thermometer,Excellent hand held forehead thermometer.  It fits nicely in my hand and vibrates slightly when the temperature has been taken—no annoying beep (although a beep may be a feature available that I don’t use).  We use this thermometer daily.  I highly recommend it.,B075QQ8VZW,True
56461,2021-08-29 20:03:08,5.0,The BEST thermometer ever,"Accurate, fast, easy to use. This digital thermometer is fantastic. Point it about an inch from your forehead and within seconds you hear a buzz.. the temperature readout is easy to see. So simple!",B075QQ8VZW,True
57622,2020-09-04 20:53:56,4.0,Good thermometer - surface temp only,This is a good thermometer to get a quick measurment of the surface temp of a person.  I would recomment getting a internal temp as well if taking readings in warmer areas as skin temperature can give a higher reading,B075QQ8VZW,True
57804,2021-02-01 19:44:45,5.0,Worth it,"I needed a thermometer that didn't disturb my FIL and this worked perfectly.  Have used it on my grandchildren, myself, my hubby.  Easiest one I have ever used.",B075QQ8VZW,True
57867,2020-08-02 20:31:59,5.0,Works great,Fast and easy to use.,B075QQ8VZW,True
57945,2020-11-08 02:28:12,3.0,"Works, not the best","It works but sometimes requires 2 tries... at job site, everyone was 97.1?",B075QQ8VZW,True
58520,2019-01-20 10:55:35,5.0,Nice :),Accurate. Light. Fancy. Love it.,B075QQ8VZW,True
58692,2022-03-27 00:40:22,4.0,Not as accurate as oral thermometer,"You really have to get used to using this thermometer.  If you put it away from the skin, it does not read accurately.  You need to put it right on the temple area to get something that is comparable to the oral temperature.  You really have to have it super close to the face or just put it right on … otherwise you will never know you have a fever until it’s WAYYYY up.",B075QQ8VZW,True
58722,2021-03-27 13:33:08,3.0,Questionable accuracy.,"Temp reads 96.9, 97.1 or 97.3.<br />As a nurse using this equipment, accuracy is important.  I sent the first one back. Second one isn't much better.",B075QQ8VZW,True
58747,2020-12-09 12:49:03,1.0,poor accuracy of product,"I didn't use the PT3 thermometer when purchased. But when needed, I found my temperature readings to be below normal. I get 96.4, 97.1 digital readings and the manual states the range is tested at 98 - 102 degrees.  Today I tested on my husband after getting 97 deg on myself and his was 94.6!  Unfortunately the return window was closed in June and I can't return the defective product.  If my family really had a fever from Covid, I couldn't count on this thermometer to be accurate.",B075QQ8VZW,True
58802,2021-02-19 14:25:56,2.0,Consistently off by a full degree!,"This thermometer was reading a full degree below the actual temperature straight out of the box, even after putting in brand new batteries. I’m giving it two stars because it’s an attractive design and it’s easy to use. Unfortunately those things mean nothing if you can’t rely on it to give you an accurate reading!",B075QQ8VZW,True
